book_id,lec,prof,bk,publisher,author,serial,credit,rating,major,difficulty
1021,소비와윤리,윤명애,윤리적 소비의 이해와 실천,시그마프레스,"천경희, 홍연금, 윤명애, 송인숙",GEDS063-01,3,4.12,58,0
1022,소비와윤리,윤명애,행복한 소비 윤리적 소비,시그마프레스,"천경희, 홍연금, 윤명애, 송인숙, 이성림",GEDS063-01,3,4.12,58,0
1023,인간과토지의문명사,박은영,조선과 명청(현재를 보는 역사),너머북스,"기시모토 미오, 미야지마 히로시",GEDS053-01,3,4.54,58,0
1024,과학사,박영민,과학사신론(2판),다산출판사,"김영식, 임경순",GEDN001-01,3,3.47,58,0
1025,과학사,박영민,과학사의 이해,다산출판사,임경순,GEDN001-01,3,3.47,58,0
1026,문명과자연환경,한면희,미래세대와 생태윤리,철학과현실사,한면희,GEDN019-01,3,2.63,58,0
1027,문명과자연환경,한면희,초록문명론 (동녘신서 97),동녘,한면희,GEDN019-01,3,2.63,58,0
1028,생명의과학,이우성,생명과학 강의노트(개정판),성균관대학교출판부,이우성,GEDN012-I1,3,3.67,58,0
1029,생명진화의철학,주성호,창조적 진화 (대우고전총서 11),아카넷,앙리 베르그손,GEDN011-01,3,3.55,58,0
1030,우주론,홍승우,빅뱅이론과 우주의 기원,대광서림,윤성민,GEDN006-I1,3,3.19,58,0
1031,우주론,홍승우,우주의 비밀,청문각(교문사),전일동,GEDN006-I1,3,3.19,58,0
1032,현대천문학개론,윤성민,은하 블랙홀을 찾아서(개정판 2판),부지런한거북이,윤성민,GEDN005-I1,3,2.92,58,0
1033,현대천문학개론,윤성민,은하 블랙홀을 찾아서(개정판),부지런한거북이,윤성민,GEDN005-I1,3,2.92,58,0
1034,4차산업혁명과과학문화,조항민,과학기술 미디어와 만나다,한국학술정보,조항민,GEDN045-41,3,4.27,58,0
1035,4차산업혁명과과학문화,조항민,클라우스 슈밥의 제4차 산업혁명 더 넥스트(The Next),새로운현재,클라우스 슈밥,GEDN045-41,3,4.27,58,0
1036,기후와문화,이승재,기후와 문화,시그마프레스,"오성남, 김정우, 이태영, 신임철, 이규석",GEDN024-01,3,3.73,58,0
1037,자연과학고전읽기,권영욱,사피엔스,김영사,유발 하라리,GEDN025-01,3,4.0,58,0
1038,FYE세미나Ⅰ,정순현,새내기 멘토링,그린,"유홍준, 신진규, 정순현, 박은영, 최선희",GELT038-01,1,5.0,0,0
1039,컴퓨터문서작성,추현승,컴퓨터활용능력 1급 필기(2017)(시나공 Summary)(시나공시리즈 26),길벗,길벗알앤디,GELT006-I1,1,4.05,0,0
1040,교육과정,서향희,교육과정론(교사를 위한)(양장본 HardCover),공동체,"권낙원, 김민환, 한승록, 추광재",EDU2006-01,3,4.83,37,1
1041,교육의심리학적이해,최권,교육심리학(8판),학지사,"PAUL EGGEN, DON KAUCHAK",CFTD007-01,2,4.37,1,0
1042,교육철학및교육사,김은우,교육철학 및 교육사의 이해(2판),학지사,"신차균, 안경식, 유재봉",CFTD001-01,2,4.0,1,0
1043,아동교육론,방은정,영어 기출문제 유형 분석집(초등임용 2차),초등임용영어닷컴,서승우 외 1 명,CFTD034-01,3,0.0,1,0
1044,아동교육론,방은정,초등 심층면접(2015),위드북,윤승현,CFTD034-01,3,0.0,1,0
1045,영어교육론,주경진,How Languages are Learned,Oxford,Patsy M Lightbown,CFTD013-01,3,0.0,1,0
1046,중국어교육론,조은정,중국어 교육론,한국문화사,"엄익상, 박용진, 이옥주",CFTD015-01,3,0.0,1,0
1047,체육교육론,김길용,체조지도 방법의 원리(교사에게 자신감을 주는),무지개사,"이대형, 권오석",CFTD037-01,3,0.0,1,0
1048,세계경제질서의역사,이성주,세계경제사 들어서기(양장본 HardCover),해남,송병건,INT2004-01,3,4.43,11,1
1049,글로벌지속경영,정홍주,An International Comparison of Financial Consumer Protection(IAFICO Book...,피앤씨미디어,사단법인 국제금융소비자학회,INT3003-01,3,2.67,11,2
1050,상법1,최준선,인사이트 상법,집현재,이정엽 (편저),BIZ2023-01,3,3.72,2,1
1051,상법1,최준선,회계사 객관식 상법(11판),나무와사람,"오수철, 심유식",BIZ2023-01,3,3.72,2,1
1052,상법1,최준선,회계사 상법신강(인터넷전용상품)(11판),여울,김혁붕,BIZ2023-01,3,3.72,2,1
1053,상법1,최준선,회사법(11판)(양장본 HardCover),삼영사,최준선,BIZ2023-01,3,3.72,2,1
1054,상법1,최준선,회사법(12판)(양장본 HardCover),삼영사,최준선,BIZ2023-01,3,3.72,2,1
1055,상법1,최준선,회사법(13판)(양장본 HardCover),삼영사,최준선,BIZ2023-01,3,3.72,2,1
1056,상법1,최준선,회사법(14판)(양장본 HardCover),삼영사,최준선,BIZ2023-01,3,3.72,2,1
1057,세무회계,정문기,객관식 세법(2020)(개정판 9판),상경사,"정지선, 윤성만, 유은종, 정우승",BUS3019-01,3,4.0,3,2
1058,세무회계,정문기,세법 워크북. 1(2020)(개정판 14판),상경사,"이철재, 정우승, 유은종",BUS3019-01,3,4.0,3,2
1059,세무회계,정문기,세법 워크북. 2(2020)(개정판 14판),상경사,"이철재, 정우승, 유은종",BUS3019-01,3,4.0,3,2
1060,세무회계,정문기,세법강의. 1(2019)(31판),세경사,"이철재, 정우승, 유은종",BUS3019-01,3,4.0,3,2
1061,세무회계,정문기,세법개론(2016)(22판),상경사,"임상엽, 정정운",BUS3019-01,3,4.0,3,2
1062,조직행동론,차동옥,조직행동론(13판)(양장본 HardCover),한경사,"Don Hellriegel, John W Slocum",DBA4018-01,3,0.0,59,3
1063,통계적데이터마이닝,김재직,심층 학습(제이펍의 인공지능 시리즈 13),제이펍,"이안 굿펠로, 요슈아 벤지오, 에런 쿠빌",STA3014-01,3,4.44,5,2
1064,통계적데이터마이닝,김재직,패턴 인식과 머신 러닝(제이펍의 인공지능 시리즈 11),제이펍,크리스토퍼 비숍,STA3014-01,3,4.44,5,2
