0,1,2,3,4,5
사회복지실천론,엄명용,[<h3>사회복지실천의 이해(4판)(양장본 HardCover)</h3>],"엄명용, 김성천, 오혜경, 윤혜미",학지사,"5,000원22,000원"
사회복지실천론,엄명용,[<h3>클라이언트 사례집(사회복지사가 쓴)</h3>],조성우,학지사,"13,000원"
아동복지론,김기현,[<h3>아동복지론(3판)(양장본 HardCover)</h3>],노병일,공동체,"10,000원19,000원"
사회복지윤리와철학,이혁구,[<h3>사회복지 윤리와 철학(2판)(양장본 HardCover)</h3>],"우국희, 임세희, 성정현, 최승희, 장연진",공동체,"5,000원17,000원"
행동행정학,데이비드올리버카즈단,[<h3>Nudge * 2017 노벨 경제학상 *</h3>],"Thaler Richard H, Sunstein Cass R",Penguin Books,"9,900원15,500원"
행동행정학,데이비드올리버카즈단,[<h3>넛지 : 똑똑한 선택을 이끄는 힘(양장본 HardCover)</h3>],"리처드 탈러, 캐스 선스타인",리더스북,"5,000원15,500원"
식품미생물학,우한민,[<h3>Brock Biology of Microorganisms</h3>],Madigan Michael,Pearson Education Asia,"20,000원56,000원"
영양생리학,윤의정,[<h3>인체생리학(7판)</h3>],Dee Unglaub Sliverthorn,라이프사이언스,"6,000원50,000원"
일반미생물학,윤정훈,[<h3>Brock Biology of Microorganisms</h3>],Madigan Michael,Pearson Education Asia,"20,000원56,000원"
유전학,황혜진,[<h3>핵심유전학(9판)</h3>],"William S Klug, Michael R Cummings, Charlotte A Spencer, Michael A Palladino",바이오사이언스출판,"22,000원32,000원"
바이오전기전자공학,최창현,[<h3>Principles and Applications of Electrical Engineering</h3>],"Rizzoni, James Kearns",McGraw Hill,"35,000원45,000원"
바이오전기전자공학,최창현,[<h3>전기전자공학개론(6판)</h3>],"Rizzoni, James Kearns",McGraw Hill,"10,000원39,000원"
응용열역학,김근형,[<h3>Thermodynamics</h3>],Cengel,McGraw-Hill,"12,000원43,000원"
물리전자,송장근,[<h3>Principles of Electronic Materials and Devices</h3>],Kasap,McGraw Hill,"20,000원48,000원"
물리전자,송장근,[<h3>Principles of Electronic Materials and Devices</h3>],Kasap,McGraw-Hill,"18,000원47,000원"
물리전자,송장근,[<h3>전자재료물성 및 소자공학(3/E)(CD1장포함)</h3>],SOKASAP,홍릉과학출판사,"22,000원32,000원"
물리전자,송장근,[<h3>전자재료물성 및 소자공학(3판)(CD1장포함)(양장본 HardCover)</h3>],S O Kasap,홍릉과학출판사,"12,000원34,000원"
물리전자,송장근,[<h3>전자재료물성 및 소자공학(4판)</h3>],S O Kasap,Mcgraw Hill,"20,000원39,000원"
물리전자,김길호,[<h3>전자재료물성 및 소자공학(3판)(CD1장포함)(양장본 HardCover)</h3>],S O Kasap,홍릉과학출판사,"12,000원34,000원"
이산수학,배시영,[<h3>이산수학(MSE)</h3>],박두순,한빛아카데미,"17,000원24,000원"
소프트웨어공학,이은석,[<h3>Software Engineering</h3>],Ian Sommerville,Pearson,"20,000원49,000원"
데이터베이스개론,김응모,[<h3>Fundamental Database System (NEW)</h3>],Elmasri Ramez,Prentice-Hall,"25,000원38,000원"
프로그래밍언어,정태명,[<h3>Programming Languages</h3>],"Pratt, T.W. / Zelkowitz, M.V.",Prentice Hall,"221,610원"
프로그래밍언어,정태명,"[<h3>Programming Languages, 4/E</h3>]",Pratt,Prentice-Hall,"20,000원34,000원"
운영체제,엄영익,[<h3>Operating System Concepts</h3>],Silberschatz,Wiley,"20,000원43,000원"
운영체제,엄영익,[<h3>운영체제(9판)</h3>],"Silberschatz, Peter B Galvin, Greg Gagne",교보문고,"10,000원38,000원"
디지털논리회로,이칠기,[<h3>Fundamentals of Logic Design</h3>],"Charles H Roth Jr, Larry L Kinney",CENGAGE LEARNING,"5,000원43,000원"
소프트웨어공학개론,이은석,[<h3>Software Engineering</h3>],Ian Sommerville,Pearson,"20,000원49,000원"
컴퓨터네트웍개론,김유성,[<h3>Computer Networking: A Top-Down Approach</h3>],"JAMES F KUROSE, KEITH W ROSS",Pearson,"20,000원44,000원"
컴퓨터네트웍개론,김유성,[<h3>컴퓨터 네트워킹 : 하향식 접근(7판)</h3>],"James F Kurose, Keith WRoss",퍼스트북,"5,000원36,000원"
컴퓨터개론,김문현,[<h3>Computer Science Illuminated</h3>],Dale Nell,Jones & Bartlett Publishers,"12,000원46,000원"
디지털통신,김동인,[<h3>Fundamentals of Communication Systems</h3>],John G Proakis,PEARSON,"15,000원42,000원"
제어공학기초,유관호,"[<h3>Automatic Control Systems, 9/E</h3>]","Golnaraghi Farid, Kuo Benjamin C",Wiley,"15,000원45,000원"
제어공학기초,유관호,[<h3>자동제어(Kuo의)(10판)</h3>],"Farid Golnaraghi, Benjamin C Kuo",Mcgraw Hill,"13,500원38,000원"
제어공학기초,유관호,[<h3>자동제어(KUO의)(9판)</h3>],"FARID GOLNARAGHI, BENJAMIN C KUO",퍼스트북,"9,000원35,000원"
제어공학기초,박종구,[<h3>자동제어(Kuo의)(10판)</h3>],"Farid Golnaraghi, Benjamin C Kuo",Mcgraw Hill,"13,500원38,000원"
제어공학기초,박종구,[<h3>자동제어(KUO의)(9판)</h3>],"FARID GOLNARAGHI, BENJAMIN C KUO",퍼스트북,"9,000원35,000원"
제어공학기초,박기헌,[<h3>Automatic Control Systems</h3>],"Farid Golnaraghi, Benjamin C kuo",McGRAW HILL,"25,000원44,000원"
제어공학기초,박기헌,[<h3>Automatic Control Systems (BK+CD)</h3>],Kuo/ Golnaraghi,Wiley,"37,000원"
제어공학기초,박기헌,"[<h3>Automatic Control Systems, 9/E</h3>]","Golnaraghi Farid, Kuo Benjamin C",Wiley,"15,000원45,000원"
제어공학기초,박기헌,[<h3>Kuo의 자동제어(8판)</h3>],"Kuo, Farid Golnaraghi",Wiley,"15,000원35,000원"
제어공학기초,박기헌,[<h3>자동제어(Kuo의)(10판)</h3>],"Farid Golnaraghi, Benjamin C Kuo",Mcgraw Hill,"13,500원38,000원"
제어공학기초,박기헌,[<h3>자동제어(KUO의)(9판)</h3>],"FARID GOLNARAGHI, BENJAMIN C KUO",퍼스트북,"9,000원35,000원"
논리회로,홍광석,[<h3>Fundamentals of Logic Design</h3>],"Charles H Roth Jr, Larry L Kinney",CENGAGE LEARNING,"5,000원43,000원"
논리회로,홍광석,[<h3>Fundamentals of Logic Design (Paperback)</h3>],Roth,Cengage Learning,"6,000원37,000원"
논리회로,박형원,[<h3>Fundamentals of Logic Design</h3>],"Charles H Roth Jr, Larry L Kinney",CENGAGE LEARNING,"5,000원43,000원"
논리회로,박형원,[<h3>Fundamentals of Logic Design (Paperback)</h3>],Roth,Cengage Learning,"6,000원37,000원"
논리회로,박형원,[<h3>논리설계기초(6판)(CD1장포함)</h3>],"CHARLES H ROTH, LARRY L KINNEY",한티미디어,"8,000원29,000원"
논리회로,박형원,[<h3>논리설계기초(7판)(CD1장포함)</h3>],"Charles H Roth Jr, Larry L Kinney",Cengage Learning,"5,000원35,000원"
논리회로,민형복,[<h3>Fundamentals of Logic Design (Paperback)</h3>],Roth,Cengage Learning,"6,000원37,000원"
논리회로,김상효,[<h3>Fundamentals of Logic Design</h3>],"Charles H Roth Jr, Larry L Kinney",CENGAGE LEARNING,"5,000원43,000원"
논리회로,김상효,[<h3>Fundamentals of Logic Design (Paperback)</h3>],Roth,Cengage Learning,"6,000원37,000원"
논리회로,김상효,[<h3>논리설계기초(6판)(CD1장포함)</h3>],"CHARLES H ROTH, LARRY L KINNEY",한티미디어,"8,000원29,000원"
논리회로,김상효,[<h3>논리설계기초(7판)(CD1장포함)</h3>],"Charles H Roth Jr, Larry L Kinney",Cengage Learning,"5,000원35,000원"
논리회로,유우종,[<h3>Fundamentals of Logic Design (Paperback)</h3>],Roth,Cengage Learning,"6,000원37,000원"
논리회로,유우종,[<h3>논리설계기초(7판)(CD1장포함)</h3>],"Charles H Roth Jr, Larry L Kinney",Cengage Learning,"5,000원35,000원"
논리회로,이칠기,[<h3>Fundamentals of Logic Design</h3>],"Charles H Roth Jr, Larry L Kinney",CENGAGE LEARNING,"5,000원43,000원"
디지털시스템,김종태,[<h3>Digital Systems Design Using VHDL</h3>],Charles H Roth,Cengage Learning,"30,000원39,000원"
디지털시스템,김종태,[<h3>디지털 시스템 설계(VHDL을 이용한)(2판)(CD1장포함)</h3>],"CHARLES H ROTHJR, LIZY KURIAN JOHN",텍스트북스,"25,000원"
데이터통신,이태진,[<h3>Data Communications and Networking (Global Edition)</h3>],Forouzan,McGraw-Hill,"18,000원43,000원"
데이터통신,이태진,[<h3>데이터통신과 네트워킹(5판)</h3>],Forouzan,McGraw-Hill,"5,000원39,000원"
생체역학,엄길호,[<h3>생체역학 사례기반 접근</h3>],"Sean P Flanagan, 김용운, 서정석, 엄길호, 이기광",한미의학,"15,000원26,000원"
스포츠통계학,엄한주,[<h3>통계학: 이해와 응용(2판)(양장본 HardCover)</h3>],"유극렬, 박주헌",시그마프레스,"3,000원27,000원"
