0,1,2,3,4,5
초급중회화,왕수향,[<h3>북경대학 신한어구어. 3(중국어뱅크)(전면개정판)</h3>],"대계부, 류립신, 이해연",동양북스,"4,000원14,000원"
고급중회화1,이안동,[<h3>박아한어 중급가속편. 1</h3>],편집부,북경대학출판사,"15,000원33,500원"
중국어학의이해,이정심,[<h3>중국어란 무엇인가(개정증보판)(양장본 HardCover)</h3>],최영애,통나무,"4,000원15,000원"
영미시입문,김원중,[<h3>Sound and Sense</h3>],"Arp Thomas R, Greg Johnson",Cengage Learning,"5,000원25,000원"
라틴어독해연습,정준영,"[<h3>Wheelock's Latin, 7th Edition</h3>]",Wheelock Frederic M,없음,"10,000원31,530원"
디지털문명과언어의미래,최명원,[<h3>언어인간학</h3>],김성도,21세기북스,"10,000원18,000원"
러시아어발달사,안혁,[<h3>How Russian Came to Be the Way It Is</h3>],없음,Slavica Pub,"48,650원"
러시아어발달사,안혁,[<h3>러시아 문어사(양장본 HardCover)</h3>],"뵈크, 플렉켄슈타인, 프라이당크",선인,"13,000원24,000원"
동아시아의국제질서와일본,고은미,[<h3>유목민의 눈으로 본 세계사</h3>],스기야마 마사아키,시루,"21,000원"
뉴미디어컨텐츠론,김원제,"[<h3>미디어 콘텐츠, 창조기획과 스마트 비즈니스</h3>]","김원제, 송해룡",한국학술정보,"10,000원20,000원"
뉴미디어컨텐츠론,김찬원,"[<h3>미디어 콘텐츠, 창조기획과 스마트 비즈니스</h3>]","김원제, 송해룡",한국학술정보,"10,000원20,000원"
뉴미디어컨텐츠론,김찬원,[<h3>아이디스오더(하이브리드미래문화연구총서 6)</h3>],"래리 D 로젠, 낸시 A 치버, L 마크 캐리어",성균관대학교출판부,"12,000원25,000원"
영어발음의이해,강용순,[<h3>Practical Phonetics and Phonology</h3>],Collins Beverley S,없음,"13,000원64,230원"
영어발음의이해,강용순,[<h3>Practical Phonetics and Phonology</h3>],Collins Beverley S,Routledge,"148,390원"
언어습득과영어교육,이혜문,[<h3>Principles of Language Learning and Teaching</h3>],Brown H Douglas,Prentice-Hall,"5,000원36,000원"
언어습득과영어교육,이혜문,[<h3>Principles of Language Learning and Teaching</h3>],H Douglas Brown,Pearson Education,"19,000원37,000원"
언어습득과영어교육,이혜문,[<h3>외국어 학습 교수의 원리(5판)</h3>],Brown,Pearson Education,"14,000원23,000원"
일본어로읽는일본사회,김동건,[<h3>JLPT(일본어능력시험) 한 권으로 끝내기 N4(개정판)(CD1장포함)</h3>],"이치우, 이한나",다락원,"5,000원27,000원"
고전문학작가론,한영규,[<h3>새 민족문학사 강좌. 1(양장본 HardCover)</h3>],민족문학사연구소,창비,"6,000원23,000원"
한문문법,강지희,[<h3>한문독해기본패턴(한문독해첩경시리즈 1)</h3>],동양고전정보화연구소 고전교육연구실,전통문화연구회,"8,500원15,000원"
영미소설입문,홍덕선,[<h3>Atonement</h3>],이언 매큐언,Anchor Books,"8,000원19,100원"
영미소설입문,홍덕선,[<h3>Disgrace</h3>],Coetzee J M,없음,"5,000원23,100원"
영미소설입문,홍덕선,[<h3>추락</h3>],존 쿳시,동아일보사,"6,000원11,000원"
미국문학개관1,정연식,[<h3>The Norton Anthology of American Literature</h3>],W W Norton & Company,W. W. Norton & Company,"30,000원107,520원"
미국문학개관1,정연식,[<h3>The Norton Anthology of American Literature (Shorter Eighth Edition)</h3>],Nina Baym,W. W. Norton & Company,"9,000원59,000원"
영어학입문,박유정,[<h3>Linguistics for Everyone</h3>],편집부,Cengage Learning,"8,000원29,000원"
의미와영어사용,이한정,[<h3>Style: Lessons in Clarity and Grace</h3>],Bizup Joseph,Pearson Education,"8,000원33,000원"
의미와영어사용,이한정,[<h3>STYLE(문체)</h3>],조셉 윌리엄스,홍문관,"20,000원"
중세르네상스영시,션노르만딘,[<h3>Troilus and Cressida (Oxford World's Classics)</h3>],없음,Oxford U.K,"15,350원"
중세르네상스영시,션노르만딘,[<h3>Troilus and Criseyde</h3>],"Chaucer, Geoffrey",Penguin Books,"24,810원"
드라마특강,김동욱,[<h3>세계연극사(5판)(양장본 HardCover)</h3>],"에드윈 윌슨, 앨빈 골드퍼브",퍼스트북,"10,000원36,000원"
도이치1a,프랑크그뤼네르트,[<h3>Menschen A1. Kursbuch mit DVD-ROM</h3>],Evans Sandra,없음,"5,000원31,710원"
도이치1a,프랑크그뤼네르트,[<h3>studio 21 Grundstufe A1: Gesamtband. Intensivtraining mit Audio-CD</h3>],Cornelsen Verlag GmbH,Cornelsen,"17,930원"
데이터사이언스개론,심원식,[<h3>데이터 분석의 힘</h3>],이토 고이치로,인플루엔셜,"10,000원14,800원"
메타데이터론,고영만,[<h3>Metadata</h3>],"Zeng, Marcia Lei (NA)",Neal-Schuman Publishers,"70,000원85,800원"
중국의역사1,하원수,[<h3>한국인을 위한 중국사(서해역사책방 6)</h3>],신성곤 외,서해문집,"8,000원22,000원"
인식론,이병덕,[<h3>현대 인식론</h3>],이병덕,성균관대학교출판부,"5,000원20,000원"
중국정치론,이희옥,[<h3>중국 공산당을 개혁하라(동아시아자료총서 13)(양장본 HardCover)</h3>],옌이룽,성균관대학교출판부,"10,000원15,000원"
중국정치론,이희옥,[<h3>중국 모델의 혁신(동아시아자료총서 4)(반양장)</h3>],딩쉐량,성균관대학교출판부,"15,000원20,000원"
중국정치론,이희옥,[<h3>중국은 문명형 국가다</h3>],장웨이웨이,지식공작소,"15,000원19,800원"
중국정치론,이희옥,[<h3>중국은 문명형 국가다 큰글씨책</h3>],장웨이웨이,지식공작소,"10,000원30,000원"
중국정치론,이희옥,[<h3>차이나 핸드북(개정증보판)</h3>],성균중국연구소,김영사,"17,000원22,000원"
중국정치론,이희옥,[<h3>차이나모델</h3>],대니얼 A 벨,서해문집,"11,000원19,500원"
국어음운론,권인한,[<h3>국어음성학</h3>],이호영,태학사,"3,000원10,000원"
국어정서법,정희창,[<h3>한국어 정서법(개정판)(사회평론 교육 총서 14)</h3>],"이선웅, 이승희, 정희창",사회평론아카데미,"10,000원20,000원"
형법의이해,김성돈,[<h3>형법총론(5판)(양장본 HardCover)</h3>],김성돈,SKKUP,"15,000원36,000원"
교육심리학,도승이,[<h3>교육심리학(8판)</h3>],"PAUL EGGEN, DON KAUCHAK",학지사,"12,000원26,000원"
교육심리학,도승이,[<h3>교육심리학(8판)</h3>],"Paul Eggen, Don Kauchak",학지사,"8,000원26,000원"
교육사회학,양정호,[<h3>교육사회학총론(개정증보판)(새로운)(2판)</h3>],이종각,동문사,"8,000원19,000원"
집합론,윤상운,[<h3>A Book of Set Theory</h3>],Pinter Charles,Dover Publications,"9,000원21,000원"
미분방정식,정희선,[<h3>Differential Equations with Boundary Value Problems (Paperback)</h3>],Zill,Brooks Cole,"45,000원"
미분방정식,정희선,[<h3>Differential Equations with Boundary-Value Problems (Paperback)</h3>],Zill,Brooks/Cole,"25,000원45,000원"
미분기하학1,조윤형,[<h3>Differential Geometry of Curves and Surfaces</h3>],Do Carmo Manfredo P,Dover Publications,"20,000원39,000원"
위상수학1,정희선,[<h3>Schaum's Outline of General Topology</h3>],Lipschutz Seymour,McGraw-Hill,"10,000원25,000원"
추상대수학1,임수봉,[<h3>First Course in Abstract Algebra (Paperback)</h3>],John Fraleigh,Pearson Penguin Longman,"25,000원52,000원"
추상대수학1,임수봉,[<h3>현대대수학(7판)</h3>],John B Fraleigh,성진미디어,"15,000원28,000원"
데이터통신기술,이광수,[<h3>Data Communications and Networking (Global Edition)</h3>],Forouzan,McGraw-Hill,"18,000원43,000원"
데이타베이스,김재현,[<h3>데이터베이스 개론(IT Cookbook 한빛 교재 시리즈 150)</h3>],김연희,한빛아카데미,"8,000원25,000원"
데이타베이스,김재현,[<h3>데이터베이스 개론과 실습(오라클로 배우는)</h3>],"박우창, 남송휘, 이현룡",한빛아카데미,"10,000원27,000원"
프로그래밍언어론,김재현,[<h3>프로그래밍 언어론(IT Coolbook 한빛교재시리즈 87)(양장본 HardCover)</h3>],"김종훈, 김종진",한빛아카데미,"5,000원20,000원"
PR의이해,박현순,[<h3>PR</h3>],커뮤니케이션북,커뮤니케이션북스,"12,000원32,000원"
PR의이해,박현순,[<h3>PR 입문</h3>],"이명천, 김요한",커뮤니케이션북스,"5,000원20,000원"
