0,1,2,3,4,5,6
교양,GEDM001-C0,고전명저북클럽,이아름,금15:00-16:15【31301】금16:30-17:45【31301】,3,
교양,GEDM001-C1,고전명저북클럽,김종규,금09:00-10:15【31306B】금10:30-11:45【31306B】,3,
교양,GEDM001-C2,고전명저북클럽,한성일,금12:00-13:15【31502】금13:30-14:45【31502】,3,
교양,GEDM001-C3,고전명저북클럽,한성일,금15:00-16:15【31502】금16:30-17:45【31502】,3,
교양,GEDM001-C4,고전명저북클럽,김봉석,금09:00-10:15【33210】금10:30-11:45【33210】,3,
교양,GEDM001-C5,고전명저북클럽,김봉석,금12:00-13:15【33210】금13:30-14:45【33210】,3,
교양,GEDM001-C6,고전명저북클럽,김화자,금09:00-10:15【20203】금10:30-11:45【20203】,3,
교양,GEDM001-C7,고전명저북클럽,김화자,금15:00-16:15【20203】금16:30-17:45【20203】,3,
교양,GEDM001-C8,고전명저북클럽,나연숙,금09:00-10:15【32416】금10:30-11:45【32416】,3,
교양,GEDM001-C9,고전명저북클럽,나연숙,금15:00-16:15【32416】금16:30-17:45【32416】,3,
교양,GEDM001-D0,고전명저북클럽,오현정,금12:00-13:15【20101B】금13:30-14:45【20101B】,3,
교양,GEDM001-D1,고전명저북클럽,오현정,금15:00-16:15【20101B】금16:30-17:45【20101B】,3,
교양,GEDM001-D2,고전명저북클럽,김연순,금09:00-10:15【31702】금10:30-11:45【31702】,3,
교양,GEDM001-D3,고전명저북클럽,김연순,금15:00-16:15【31702】금16:30-17:45【31702】,3,
교양,GEDM001-D4,고전명저북클럽,정현숙,금15:00-16:15【9B318】금16:30-17:45【9B318】,3,
교양,GEDM001-D5,고전명저북클럽,홍지호,금15:00-16:15【33306】금16:30-17:45【33306】,3,
교양,GEDM001-D6,고전명저북클럽,조일,금15:00-16:15【9B215】금16:30-17:45【9B215】,3,
교양,GEDM001-D7,고전명저북클럽,조원경,금15:00-16:15【90209】금16:30-17:45【90209】,3,
교양,GEDM001-D8,고전명저북클럽,장우성,금15:00-16:15【9B316】금16:30-17:45【9B316】,3,
교양,GEDM001-D9,고전명저북클럽,박정하,금09:00-10:15【50105】금10:30-11:45【50105】,3,
교양,GEDM001-E0,고전명저북클럽,이상철,금15:00-16:15【50105】금16:30-17:45【50105】,3,
교양,GEDM001-E1,고전명저북클럽,김영,금15:00-16:15【31603】금16:30-17:45【31603】,3,
교양,GEDM001-E2,고전명저북클럽,김영,금09:00-10:15【31603】금10:30-11:45【31603】,3,
교양,GEDC010-02,성균논어,고재석,월11:00-11:50【50104】월12:00-12:50【50104】,2,
교양,GEDC010-03,성균논어,정연수,월11:00-11:50【33304】월12:00-12:50【33304】,2,
교양,GEDC010-04,성균논어,안승우,월13:00-13:50【31409】월14:00-14:50【31409】,2,
교양,GEDC010-05,성균논어,임선영,월15:00-15:50【31409】월16:00-16:50【31409】,2,
교양,GEDC010-06,성균논어,이주강,화09:00-09:50【31409】화10:00-10:50【31409】,2,
교양,GEDC010-07,성균논어,고재석,화11:00-11:50【50104】화12:00-12:50【50104】,2,
교양,GEDC010-08,성균논어,안승우,화13:00-13:50【31409】화14:00-14:50【31409】,2,
교양,GEDC010-09,성균논어,고재석,화15:00-15:50【50106】화16:00-16:50【50106】,2,
교양,GEDC010-10,성균논어,이천승,수09:00-09:50【31409】수10:00-10:50【31409】,2,
교양,GEDC010-11,성균논어,강보승,목11:00-11:50【31409】목12:00-12:50【31409】,2,
교양,GEDC010-12,성균논어,이천승,수13:00-13:50【31409】수14:00-14:50【31409】,2,
교양,GEDC010-13,성균논어,함윤식,수15:00-15:50【31507】수16:00-16:50【31507】,2,
교양,GEDC010-14,성균논어,함윤식,목13:00-13:50【31507】목14:00-14:50【31507】,2,
교양,GEDC010-15,성균논어,고재석,목15:00-15:50【50411】목16:00-16:50【50411】,2,
교양,GEDC010-16,성균논어,임선영,월09:00-09:50【31409】월10:00-10:50【31409】,2,
교양,GEDC010-17,성균논어,이선열,수11:00-11:50【31409】수12:00-12:50【31409】,2,
교양,GEDC010-I1,성균논어,이천승,【iCampus 수업】,2,
교양,GEDR014-01,실천리더십,홍성호,월13:00-13:50【50105】월14:00-14:50【50105】,2,
교양,GEDR014-02,실천리더십,고재석,목11:00-11:50【50304】목12:00-12:50【50304】,2,
교양,GEDR014-03,실천리더십,이은진,월11:00-11:50【31311】월12:00-12:50【31311】,2,
교양,GEDR014-04,실천리더십,홍성호,화13:00-13:50【50105】화14:00-14:50【50105】,2,
교양,GEDC015-I1,앙트레프레너십과리더십,이원준,【iCampus 수업】,2,
교양,GEDC010-41,성균논어,윤민향,수11:00-11:50【51205】수12:00-12:50【51205】,2,
교양,GEDC010-42,성균논어,윤민향,수15:00-15:50【51205】수16:00-16:50【51205】,2,
교양,GEDC010-43,성균논어,정병섭,월13:00-13:50【51205】월14:00-14:50【51205】,2,
교양,GEDC010-44,성균논어,정병섭,월15:00-15:50【51205】월16:00-16:50【51205】,2,
