0,1,2,3,4,5,6
기타,GELT066-01,4차산업혁명의이해와진로탐색,배상훈,화15:00-15:50【31406】화16:00-16:50【31406】,1,
기타,GELT041-01,FYE세미나II,박은영,금18:00-18:50【50308】,1,
기타,GELT041-02,FYE세미나II,전종희,금18:00-18:50【50310】,1,
기타,GELT041-03,FYE세미나II,정순현,금18:00-18:50【50318】,1,
기타,GELT064-I1,교실밖창업과실무기초,김경환,【iCampus 수업】,2,
기타,GELT016-01,교양농구,이재무,수13:00-13:50【61603】수14:00-14:50【61603】,1,
기타,GELT023-01,교양댄스스포츠,한경아,목09:00-09:50【62101】목10:00-10:50【62101】,1,
기타,GELT023-02,교양댄스스포츠,이루지,월09:00-09:50【62101】월10:00-10:50【62101】,1,
기타,GELT045-01,교양소프트볼,김지은,월14:00-14:50【61603】월15:00-15:50【61603】,1,
기타,GELT027-02,교양스노우보드,진영윤,수11:00-11:50【62603】수12:00-12:50【62603】,1,
기타,GELT028-01,교양스키,양승규,월15:00-15:50【62705】월16:00-16:50【62705】,1,
기타,GELT028-02,교양스키,이기현,수09:00-09:50【62701】수10:00-10:50【62701】,1,
기타,GELT024-01,교양요가,이민지,월11:00-11:50【33B405】월12:00-12:50【33B405】,1,
기타,GELT024-02,교양요가,한경아,목11:00-11:50【33B405】목12:00-12:50【33B405】,1,
교직,CFTD005-01,교육방법및교육공학,서향희,목13:00-13:50【50104】목14:00-14:50【50104】,2,
교직,CFTD005-02,교육방법및교육공학,서향희,목17:00-17:50【50307】목18:00-18:50【50307】,2,
교직,CFTD005-03,교육방법및교육공학,황부남,월18:00-18:50【50402】월19:00-19:50【50402】,2,
교직,CFTD005-04,교육방법및교육공학,서향희,목15:00-15:50【50411】목16:00-16:50【50411】,2,
교직,CFTG008-81,교육방법및교육공학연구,황부남,월20:00-21:20【50402】,2,
교직,CFTD078-01,교육봉사활동,유재봉,미지정,2,
교직,CFTD002-01,교육사회,손형국,월18:00-18:50【50408】월19:00-19:50【50408】,2,
교직,CFTG001-81,교육사회학연구,손형국,월20:00-21:20【50408】,2,
교직,CFTD003-01,교육심리,김명숙,수14:00-14:50【33219】수15:00-15:50【33219】,2,
교직,CFTD003-02,교육심리,김명숙,수16:00-16:50【33219】수17:00-17:50【33219】,2,
교직,CFTG003-81,교육심리학연구,권승희,목20:00-21:20【50308】,2,
교직,CFTD008-01,교육의역사철학적이해,박영호,수18:00-18:50【50408】수19:00-19:50【50408】,2,
교직,CFTD008-02,교육의역사철학적이해,정덕희,월15:00-15:50【50104】월16:00-16:50【50104】,2,
교직,CFTG009-81,교육철학및교육사연구,조병희,목18:30-19:50【50402】,2,
교직,CFTD104-01,교육평가,김현철,금12:00-12:50【50411】금13:00-13:50【50411】,2,
교직,CFTD104-02,교육평가,서은경,금14:00-14:50【50411】금15:00-15:50【50411】,2,
교직,CFTD104-03,교육평가,서은경,금16:00-16:50【50411】금17:00-17:50【50411】,2,
교직,CFTG024-81,교육평가연구,조은정,수18:30-19:50【50205】,2,
교직,CFTD094-01,교육학개론,한신일,목13:00-13:50【50319】목14:00-14:50【50319】,2,
교직,CFTD094-02,교육학개론,유재봉,수13:00-13:50【50319】수14:00-14:50【50319】,2,
교직,CFTD094-03,교육학개론,김은우,수15:00-15:50【50106】수16:00-16:50【50106】,2,
교직,CFTD094-04,교육학개론,권영신,월18:00-18:50【50104】월19:00-19:50【50104】,2,
교직,CFTD064-01,교육학교재연구및지도법,이하영,금18:00-19:15【50408】금19:30-20:45【50408】,3,
교직,CFTD006-01,교육행정및교육경영,한신일,화11:00-11:50【50106】화12:00-12:50【50106】,2,
교직,CFTD006-02,교육행정및교육경영,한신일,목15:00-15:50【50412】목16:00-16:50【50412】,2,
교직,CFTG011-81,교육행정및교육경영연구,박성수,월18:30-19:50【50105】,2,
교직,CFTD077-01,교직실무,허봉규,목18:00-18:50【50104】목19:00-19:50【50104】,2,
교직,CFTD077-02,교직실무,허봉규,목20:00-20:50【50104】목21:00-21:45【50104】,2,
교직,CFTD077-03,교직실무,이선영,화20:00-20:50【50408】화21:00-21:45【50408】,2,
교직,CFTD077-04,교직실무,이선영,화18:00-18:50【50408】화19:00-19:50【50408】,2,
교직,CFTD042-01,국어교과교재연구및지도법,남지애,화18:00-19:15【50402】화19:30-20:45【50402】,3,
교직,CFTD084-01,국어교과논리논술,김은우,목18:00-18:50【31311】목19:00-19:50【31311】,2,
기타,GELT002-01,글로벌문화체험세미나,다인리듬,월15:00-15:50【33214】,1,
기타,GELT002-02,글로벌문화체험세미나,다인리듬,수15:00-15:50【33214】,1,
기타,GELT002-03,글로벌문화체험세미나,패트리스리디,목11:00-11:50【33218】,1,
기타,GELT002-04,글로벌문화체험세미나,도널린졸슨,월12:00-12:50【33214】,1,
기타,GELT002-05,글로벌문화체험세미나,패트리스리디,수14:00-14:50【33214】,1,
기타,GELT002-06,글로벌문화체험세미나,모건뱁스트,목12:00-12:50【33214】,1,
기타,GELT002-07,글로벌문화체험세미나,레이하트만,수12:00-12:50【33214】,1,
기타,GELT002-09,글로벌문화체험세미나,토머스존,월13:00-13:50【33214】,1,
기타,GELT002-10,글로벌문화체험세미나,토머스존,화13:00-13:50【33214】,1,
