0,1,2,3,4,5
열역학,박문수,[<h3>열역학(8판)</h3>],"Claus Borgnakke, Richard E Sonntag",텍스트북스,"19,000원38,000원"
유체역학,이창구,[<h3>Fluid Mechanics</h3>],White,McGraw-Hill,"5,000원42,000원"
유체역학,이창구,[<h3>Fluid Mechanics (SI)</h3>],White,McGraw Hill,"15,000원45,000원"
고체역학,김문기,[<h3>Mechanics of Materials</h3>],Russell C Hibbeler,PEARSON,"8,000원39,000원"
고체역학,김문기,[<h3>Mechanics of Materials</h3>],R C Hibbeler,Pearson,"30,000원45,000원"
고체역학,김문기,[<h3>재료역학(9판)</h3>],R C Hibbeler,프로텍미디어,"25,000원39,000원"
고체역학,석창성,[<h3>Mechanics of Materials</h3>],Russell C Hibbeler,PEARSON,"8,000원39,000원"
고체역학,석창성,[<h3>Mechanics of Materials</h3>],R C Hibbeler,Pearson,"30,000원45,000원"
고체역학,석창성,[<h3>재료역학(9판)</h3>],R C Hibbeler,프로텍미디어,"25,000원39,000원"
경영과학(OR)및실습1,이희상,[<h3>Opeartions Management</h3>],Stevenson,McGraw Hill,"10,000원42,000원"
경영과학(OR)및실습1,이희상,[<h3>경영과학(9판)</h3>],"Frederck S Hillier, Gerald J Lieberman",지필미디어,"17,000원38,000원"
경영과학(OR)및실습1,이희상,[<h3>경영과학(CD1장포함)</h3>],"Frederick S. Hillier, LIEBERMAN",지필,"15,000원32,000원"
기술관리,조근태,[<h3>세계미래보고서 2045</h3>],"박영숙, 제롬 글렌, 테드 고든",교보문고,"5,000원15,000원"
인간공학및실습,공용구,[<h3>인간공학(7판)(양장본 HardCover)</h3>],"Mark S Sanders, Ernest J McCormick",대영사,"6,000원21,000원"
제조전략이해,최후곤,"[<h3>Automation, Production Systems, and Computer-Integrated Manufacturing</h3>]",Mikell P Groover,Pearson,"20,000원42,000원"
생산관리,권대일,[<h3>생산운영관리(13판)</h3>],William J Stevenson,MCGRAW-HILL Higher Education,"20,000원39,000원"
응용통계및연습2,강석호,[<h3>Probability and Statistics 4/E</h3>],DeGroot Morris H,Pearson Education Asia,"15,000원42,000원"
